"song","rank","plays"
"Dark Bird (St. Lucia Remix)",1,393
"Delicate",2,312
"Almost (Sweet Music)",3,301
"The Archer",4,301
"Angel",5,293
"Clean",6,284
"Dark Bird",7,269
"Daylight",8,256
"This Love (Taylor’s Version)",9,227
"Sweet Girl (Live)",10,223
"End of Desire",11,211
"Angel (Live 1981)",12,189
"Angel (4/2/79 Version)",13,175
"Chasing Stars (feat. James Bay)",14,162
"Cruel Summer",15,162
"I Think He Knows",16,159
"Lover",17,158
"New Year’s Day",18,154
"Middle of Love",19,150
"Two Way (feat. James Bay)",20,149
"Sometimes I",21,146
"Treacherous (Taylor's Version)",22,145
"Overpass Graffiti",23,140
"Storms",24,137
"Out of the Woods",25,137
"Kind of Girl",26,134
"I Will Run to You (Remastered)",27,132
"Evergreen",28,131
"Free Fallin'",29,129
"Sara",30,124
"This Love",31,121
"Daylight (Live From Paris)",32,120
"Run",33,119
"Call It What You Want",34,119
"The Man",35,118
"Paper Rings",36,117
"Letting You Go",37,117
"Bad Habits",38,116
"Twisted",39,116
"Miss Americana & The Heartbreak Prince",40,113
"It's Gonna Be Okay, Baby",41,112
"Even My Dad Does Sometimes",42,110
"Style",43,109
"State Of Grace (Taylor's Version)",44,107
"The Waiting",45,103
"I Know A Place",46,101
"epiphany (the long pond studio sessions)",47,101
"Home By Now",48,97
"Cornelia Street",49,97
"London Boy",50,97
"Moment's Silence (Common Tongue)",51,95
"All Too Well (Sad Girl Autumn Version) [Recorded at Long Pond Studios]",52,95
"Stop Draggin' My Heart Around (with Tom Petty & the Heartbreakers)",53,94
"Death By A Thousand Cuts",54,93
"New York",55,92
"Monday Morning (Remastered)",56,92
"Zombie Zoo",57,92
"Afterglow",58,91
"Shooting Star",59,90
"Touch and Go",60,89
"Blue Letter (Remastered)",61,89
"You Need To Calm Down",62,89
"Loose Garment",63,88
"Don't Come Around Here No More",64,87
"Bloodstream",65,86
"Anything But Me",66,85
"New Romantics",67,85
"Getaway Car",68,82
"Carolina (""Where The Crawdads Sing"" - Video Edition)",69,78
"Carolina (From The Motion Picture “Where The Crawdads Sing”)",70,77
"American Girl",71,77
"The Longest Year",72,76
"Red (Taylor's Version)",73,76
"Movement",74,75
"Deliver Me",75,75
"Rhiannon (Remastered)",76,73
"...Ready For It?",77,73
"Shrike",78,71
"The Best of Everything (Alternate Version/Extra Verse)",79,70
"Angel (Live At St. Louis, 11/5/79)",80,69
"All You Had To Do Was Stay",81,69
"Afterglow",82,68
"Gorgeous",83,68
"Crystal (Remastered)",84,67
"Now I'm In It (Bonus Track)",85,67
"Rockin' Around (With You)",86,67
"Don’t Blame Me",87,66
"Depending On You",88,66
"willow",89,65
"All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)",90,65
"After the Glitter Fades",91,64
"illicit affairs",92,64
"King of My Heart",93,64
"A Thing About You",94,64
"Easy On Me",95,63
"Bella Donna",96,63
"Gate and Garden (Remastered)",97,63
"Nightbird (Remastered)",98,63
"happiness",99,63
"Run (Taylor's Version) (From The Vault) [feat. Ed Sheeran]",100,63
"Hometown Blues",101,63
"Runner’s High",102,62
"Touch",103,62
"illicit affairs (the long pond studio sessions)",104,62
"False God",105,62
"Silent Love",106,61
"Rooms On Fire",107,61
"invisible string (the long pond studio sessions)",108,61
"Insider (feat. Stevie Nicks)",109,61
"Warm Ways (Remastered)",110,60
"Landslide (Remastered)",111,60
"American Girl (Live at The Wiltern, 1985)",112,60
"Save Your Love",113,59
"I Forgot That You Existed",114,59
"So It Goes...",115,59
"Anything That's Rock 'N' Roll",116,59
"Kind of Woman",117,58
"I Sing for Things",118,57
"One Life",119,56
"What I Want",120,56
"No Idea",121,56
"Forever Winter (Taylor's Version) (From The Vault)",122,56
"Dancing With Our Hands Tied",123,56
"Second Hand News",124,55
"Enchanted (Remastered)",125,55
"The Archer (Live From Paris)",126,55
"The Wild One, Forever",127,55
"The Joker And The Queen",128,54
"Never Going Back Again",129,54
"I Don't Want to Know",130,54
"ivy",131,54
"The Very First Night (Taylor's Version) (From The Vault)",132,54
"Navy Blue",133,53
"Love Story (Taylor’s Version)",134,53
"All Too Well (Taylor's Version)",135,53
"Girl At Home (Taylor's Version)",136,53
"Jammin' Me",137,53
"Learning to Fly (Live)",138,53
"Think About It",139,52
"The Waiting (Live)",140,51
"Dreams",141,50
"NFWMB",142,50
"You Signed Up For This",143,50
"Solid",144,50
"Wild Heart (Remastered)",145,50
"peace (the long pond studio sessions)",146,50
"Kings Road",147,50
"Give Me The Reason",148,49
"Chasing Stars (feat. James Bay) [Stripped]",149,48
"Handle Me",150,48
"long story short",151,48
"exile (feat. Bon Iver)",152,48
"epiphany",153,48
"peace",154,48
"It's Nice To Have A Friend",155,48
"Message In A Bottle (Taylor's Version) (From The Vault)",156,48
"Bad Blood",157,48
"Wildest Dreams",158,48
"Shivers",159,47
"Leave Your Life",160,47
"Songbird",161,47
"Fade Into You (Live)",162,47
"Fearless",163,47
"Wildflowers (Live)",164,47
"Dogs On the Run",165,47
"Say You Love Me (Remastered)",166,46
"Outside the Rain",167,46
"A Woman In Love (It's Not Me)",168,46
"Nowhere Left To Go",169,45
"If Anyone Falls (Remastered)",170,45
"august (the long pond studio sessions)",171,45
"willow (lonely witch version)",172,45
"Wildflowers (Home Recording)",173,45
"The Waiting (Live at The Wiltern, 1985)",174,45
"Collide",175,44
"This Love",176,44
"Silk Chiffon (feat. Phoebe Bridgers)",177,44
"I Wish You Would",178,44
"Tides",179,43
"Memento",180,43
"Gold and Braid (Live 1981)",181,43
"Leather and Lace",182,43
"I Knew You Were Trouble (Taylor's Version)",183,43
"Dress",184,43
"Avila",185,43
"Pack up Your Sorrows",186,42
"Imperial Hotel",187,42
"champagne problems",188,42
"the 1",189,42
"Mystery Man",190,42
"The River",191,41
"Brooklyn",192,41
"invisible string",193,41
"willow (dancing witch version) [Elvira remix]",194,41
"I Won't Back Down",195,41
"The Apartment Song",196,41
"Straight Into Darkness",197,41
"Wagon Wheel",198,40
"Middle of Love (The Dove Sessions)",199,40
"Weddings and Funerals",200,40
"Volcano",201,40
"All Too Well",202,40
"Around U",203,40
"gold rush",204,40
"august",205,40
"Holy Ground (Taylor's Version)",206,40
"Shake It Off",207,40
"Love Is a Long Road",208,40
"Child of Mine",209,39
"Go Your Own Way",210,39
"Shrike (Live at Windmill Lane Studios)",211,39
"Psycho",212,39
"Stop Draggin' My Heart Around (with Tom Petty & the Heartbreakers)",213,39
"marjorie",214,39
"evermore (feat. Bon Iver)",215,39
"Come In With The Rain (Taylor’s Version)",216,39
"the last great american dynasty",217,39
"my tears ricochet",218,39
"invisible string",219,39
"Fooled Again (I Don't Like It)",220,39
"No Questions Asked",221,38
"Time After Time",222,38
"Funeral (feat. James Bay)",223,38
"Sister Honey",224,38
"Stand Back (Remastered)",225,38
"cardigan",226,38
"mirrorball",227,38
"hoax",228,38
"august",229,38
"Look What You Made Me Do",230,38
"Change of Heart",231,38
"We Stand a Chance",232,38
"Leave a Trace",233,37
"Stop The Rain",234,37
"The Ghost",235,37
"The Stable Song",236,37
"Hallelujah (Bonus Track)",237,37
"Would That I",238,37
"John Hughes Movie",239,37
"Tell It To My Heart (feat. Hozier)",240,37
"Who",241,37
"mirrorball",242,37
"I Did Something Bad",243,37
"Wildflowers",244,37
"A One Story Town",245,37
"Strangered In the Night",246,37
"Seven Bridges Road (Live)",247,36
"First Times",248,36
"Rhiannon (Will You Ever Win) [Single Version] [Remastered]",249,36
"Elvis Song",250,36
"Epiphany (Piano Instrumental)",251,36
"Edge of Seventeen",252,36
"Long Way to Go",253,36
"cardigan (cabin in candlelight version)",254,36
"End Game (feat. Ed Sheeran & Future)",255,36
"Kings Highway",256,36
"Reprieve",257,35
"Never Ending Circles",258,35
"Over My Head (Remastered)",259,35
"Blue Letter (Single Version)",260,35
"If I Go, I'm Goin'",261,35
"Give Me The Reason",262,35
"Red",263,35
"Hey Now",264,35
"Rock a Little (Go Ahead Lily)",265,35
"epiphany",266,35
"the 1 (the long pond studio sessions)",267,35
"Luna",268,35
"Compass Rose",269,34
"Wasteland, Baby!",270,34
"Home",271,34
"The Last of the Starks",272,34
"How Still My Love",273,34
"mirrorball (the long pond studio sessions)",274,34
"Room at the Top",275,34
"You Got Lucky",276,34
"Angel Baby",277,34
"Sky Spinning",278,33
"Say You Will",279,33
"Nina Cried Power (feat. Mavis Staples)",280,33
"Movement",281,33
"No Plan",282,33
"Into the Unknown",283,33
"I’m Trying (Not Friends)",284,33
"The Highwayman",285,33
"Ghosts",286,33
"'tis the damn season",287,33
"You All Over Me (Taylor’s Version) [From The Vault] [feat. Maren Morris]",288,33
"seven",289,33
"Ronan (Taylor's Version)",290,33
"This Is Why We Can’t Have Nice Things",291,33
"A Face In the Crowd",292,33
"Happier",293,32
"Like Real People Do",294,32
"Love Him I Don’t",295,32
"The Dirt Whispered",296,32
"You Belong With Me (Taylor’s Version)",297,32
"betty",298,32
"the 1",299,32
"cardigan (the long pond studio sessions)",300,32
"hoax (the long pond studio sessions)",301,32
"Feel a Whole Lot Better",302,32
"Finding Out",303,32
"Hometown Blues",304,32
"Wildflowers",305,32
"Here Comes the Sun",306,31
"The A Team",307,31
